code,name_en,name_zh,typical_symptoms_en,typical_symptoms_zh,red_flags_en,red_flags_zh,evidence_to_inspect,diagnostic_questions_en,diagnostic_questions_zh,domain_symptoms_en_json,domain_symptoms_zh_json,common_misdiagnosis_en,common_misdiagnosis_zh,default_tools
R7,Task-format Fit,任务形式适配性,"The benchmark's task format fails to elicit the capability it claims to measure — e.g., testing multi-turn reasoning with single-turn QA, or measuring truthfulness only via final answer accuracy without evidence or abstention tracking.",基准的任务形式无法激发其声称要测量的能力——例如，用单轮问答测试多轮推理能力，或仅通过最终答案准确率衡量真实性，而不考察证据支持或拒答行为。,privacy = PII yes/no; safety = refusal yes/no; fairness = single stereotype QA; psychological support = psychology multiple choice; agent safety = text classification; truthfulness = final accuracy only,隐私 = PII 是/否分类; 安全 = 拒答 是/否判断; 公平性 = 单一刻板印象问答; 心理支持 = 心理学选择题; 智能体安全 = 文本分类; 真实性 = 仅看最终答案准确率,task format; input-output schema; sample prompts; interaction setup; evaluation protocol; whether multi-turn / tool-use / contrast set exists,What task format does the target construct require?; Can the current task format elicit the target behavior?; Is a contrast set needed?; Is multi-turn interaction required?; Is open-ended response or agent workflow necessary?; Is trajectory-level scoring required?,目标构念需要什么任务形式？; 当前任务形式能激发目标行为吗？; 是否需要对照集？; 是否需要多轮交互？; 是否需要开放回答或智能体工作流？; 是否需要轨迹级评分？,"{""Fairness"": ""No paired/counterfactual control; unable to determine if the change in answers is caused by the protected attribute"", ""Safety"": ""No safe/unsafe comparison; no multi-round jailbreak testing; no over-rejection measurement"", ""Privacy"": ""No information flow task; no agent workflow; no third-party information transmission"", ""Human-Centered"": ""No open supportive response; only tests knowledge, not interaction"", ""Trustworthiness"": ""No answerability taxonomy; does not measure refusal to answer, evidence anchoring, or temporal freshness""}","{""Fairness"": ""没有配对/反事实对照；无法判断答案变化是否由受保护属性引起"", ""Safety"": ""没有安全/不安全对照；没有多轮越狱测试；没有过度拒答测量"", ""Privacy"": ""没有信息流任务；没有智能体工作流；没有第三方信息传递"", ""Human-Centered"": ""没有开放支持性回应；只测知识，不测互动"", ""Trustworthiness"": ""没有可答性分类法；不测拒答、证据锚定、时间新鲜度""}","Not all benchmarks must be multi-turn or agent-based; R7 criticizes only mismatches between claimed construct and actual task format — e.g., a benchmark explicitly claiming 'single-turn classification' is not flawed for being single-turn.",并非所有基准都必须是多轮或智能体形式；R7 批评的仅是任务形式与声明构念之间的不匹配——例如，若基准明确认定为‘单轮分类’，则单轮本身并无缺陷。,T06; T08; T09
R4,Stakeholder and Coverage Adequacy,利益相关方与覆盖充分性,"The benchmark omits critical stakeholders, populations, cultures, jurisdictions, or deployment contexts — e.g., ignoring affected third parties, marginalized groups, non-US/English settings, or key identity variables in local deployments.",基准测试遗漏了关键利益相关方、群体、文化、法域或部署场景——例如忽略受影响的第三方、弱势群体、非美国/英文环境，或本地部署中的关键身份变量。,"Only covers English / US / Western contexts; Claims general fairness but only measures race/gender; Privacy benchmark ignores data subject or recipient; Professional benchmark ignores doctors/lawyers/counselors; Agent benchmark omits tool owner, data owner, or affected third parties",仅覆盖英文/美国/西方语境; 声称通用公平性但只测量种族/性别; 隐私基准忽略数据主体或接收方; 专业领域基准忽略医生/律师/心理咨询师; 智能体基准忽略工具所有者、数据所有者或受影响第三方,dataset composition; demographic / stakeholder categories; scenario descriptions; sampling strategy; coverage table; benchmark claim; target deployment context; limitations,"Which people, scenarios, and domains does the benchmark claim to support?; Which stakeholders are actually covered?; Who are the direct users vs. the truly affected parties?; Are there third parties involved?; Are vulnerable or marginalized groups included?; Is there coverage across culture, jurisdiction, or language?; Would insufficient coverage undermine the benchmark's stated claim?",基准测试声称适用于哪些人、场景和领域？; 实际覆盖了哪些利益相关方？; 谁是直接用户？谁是真正受影响者？; 是否存在第三方？; 是否存在弱势或边缘化群体？; 是否存在文化、法域、语言覆盖？; 覆盖不足是否会影响其声明主张？,"{""Fairness"": ""Omission of protected/proxy groups; lack of intersectional coverage; failure to include affected communities"", ""Privacy"": ""Does not distinguish between data subjects, recipients, third parties, organizations, and regulators"", ""Safety"": ""Focusing only on malicious users, ignoring potential victims, bystanders, and targets of abuse"", ""Human-Centered"": ""Not including vulnerable users, caregivers, professionals, and dependents"", ""Agent"": ""Not including data owners, tool owners, organizations, and downstream affected parties""}","{""Fairness"": ""漏掉受保护/代理群体；缺乏交叉性覆盖；未纳入受影响社区"", ""Privacy"": ""未区分数据主体、接收方、第三方、机构、监管者"", ""Safety"": ""只关注恶意用户，忽略潜在受害者、旁观者、滥用目标"", ""Human-Centered"": ""未纳入弱势用户、照护者、专业人士、依赖者"", ""Agent"": ""未纳入数据所有者、工具所有者、组织、下游受影响方""}","Not all benchmarks must cover every group; a narrow claim (e.g., 'English gender stereotype benchmark') makes limited coverage acceptable. R4 is about whether coverage matches the scope of the claim.",并非所有基准都必须覆盖所有群体；若其主张明确限定（如‘英文性别刻板印象基准’），则不覆盖中文或年龄未必是问题。R4 的关键是覆盖范围是否足以支撑其主张。,T03; T04; T02
R6,Scenario Realism and Evidential Sufficiency,场景真实度与证据充分性,"A single item/task provides insufficient information—such as missing roles, purpose, evidence, constraints, interaction history, or decision point—to support a robust ethical judgment.",单个题目/任务提供的信息不足——如缺少角色、目的、证据、约束、互动历史或决策点——无法支撑可靠的伦理判断。,"""Who is more unreasonable?"" without behavioral evidence; ""Does this violate privacy?"" without sender/recipient/purpose; ""Should the model refuse?"" without user intent or risk level; ""Who is better suited for the role?"" without job-relevant evidence; ""How should the model respond to a mental health crisis?"" without user risk status",“谁更不合理？”但没有具体行为证据; “是否侵犯隐私？”但没有发送方/接收方/目的; “是否应该拒绝？”但没有用户意图和风险等级; “谁更适合岗位？”但没有岗位相关能力证据; “模型应该如何回应心理危机？”但没有用户风险状态,sample items; prompt templates; scenario descriptions; input fields; label rationale; few-shot examples; task instruction,"Is the information provided sufficient to make the required ethical judgment?; What facts must the model infer or 'fill in' to answer?; Are roles, relationships, purpose, evidence, constraints, and interaction history present?; Is there a clear decision point with meaningful alternatives?; Would the answer remain valid if group identity were removed?; Is there demonstrably insufficient evidence for the judgment requested?",题目所给信息是否足以支持所需的伦理判断？; 模型需要脑补哪些事实才能作答？; 是否存在角色、关系、目的、证据、约束和互动历史？; 是否存在清晰的决策点及有意义的选项？; 如果去掉群体身份，答案是否依然成立？; 是否存在明确的证据不足情况？,"{""Fairness"": ""No job-relevant evidence yet judgment of candidate suitability; forced choice without equitable basis"", ""Privacy"": ""Missing sender, subject, recipient, purpose, or authorization for data handling"", ""Safety"": ""Missing operationality, intent, proximity, or explicit risk tier for harm assessment"", ""Human-Centered"": ""Missing user state, risk level, professional boundaries, or available support resources"", ""Agent"": ""Missing tool permissions, environment context, accessible files, or action consequences""}","{""Fairness"": ""缺少与岗位或任务相关的证据，却直接判断候选人适配性；使用缺乏公平依据的强制二选一。"", ""Privacy"": ""缺少发送者、数据主体、接收者、处理目的或授权依据。"", ""Safety"": ""缺少可操作性、意图、风险距离或明确风险等级，无法支撑危害判断。"", ""Human-Centered"": ""缺少用户状态、风险等级、专业边界或可用支持资源。"", ""Agent"": ""缺少工具权限、环境上下文、可访问文件或行动后果说明。""}",Short prompts are not automatically R6-low; isolated stereotype association tasks may legitimately require brevity. R6 arises only when complex ethical judgment is demanded without adequate contextual grounding.,简短题目不一定 R6 低；若目标是测量孤立的刻板印象关联，短题可接受。R6 的问题在于：要求进行复杂的伦理判断，却未提供足够的上下文支撑。,T03; T04; T03; T09
R3,Evidence Provenance and Fitness,证据来源可追溯与适配性,"The benchmark's source data, papers, cases, or annotations are unclear or insufficient to support its claims — e.g., 'expert-annotated' without expert credentials, 'real-world data' without provenance, or using US-only data to claim global validity.",基准测试所依赖的源数据、论文、案例或标注信息不明确，或无法支撑其主张——例如声称‘专家标注’却未说明专家身份与资质，‘真实世界数据’却无来源说明，或仅用美国数据就宣称具有全球适用性。,'collected from the web' but no detailed source; 'expert labels' but no expert background; 'based on real cases' but no case source; 'global benchmark' but only English data; 'clinical support benchmark' but data from non-clinical forums; 'this paper proposes our tool' but original only shows similar practice,‘从网络收集’但无具体来源; ‘专家标注’但无专家背景说明; ‘基于真实案例’但无案例来源; ‘全球基准’却仅有英文数据; ‘临床支持基准’但数据来自非临床论坛; ‘本文提出我们的工具’但原文仅展示类似实践,data collection section; dataset sources; annotation protocol; source references; limitations section; benchmark card / dataset card; README; source-to-tool mapping; paper citations,"Where does the data come from?; Is the source traceable?; Is the source fit for the claimed purpose?; Does the source’s cultural/jurisdictional/professional context match the claim?; Is there over-attribution to the source?; What is the source’s contribution type: provides mechanism, exemplifies, supports, motivates, or critique-motivates?; Does the benchmark document source limitations?",数据从哪里来？; 来源是否可追溯？; 该来源是否适配当前主张？; 来源的文化/法域/专业背景是否与主张匹配？; 是否存在对来源的过度归因？; 该来源的贡献类型是：提供机制、举例说明、支撑主张、激发设计，还是批判性启发？; 基准测试是否说明了来源的局限性？,"{""Privacy"": ""The source of privacy regulations is unclear; the data comes from one legal jurisdiction but claims to be applicable to all jurisdictions."", ""Fairness"": ""identity categories are directly adopted without specifying the source and local adaptability."", ""Trustworthiness"": ""Factual questions lack an evidence source, timestamp, and update mechanism."", ""Professional domains"": ""Medical/psychological/legal sources do not come from professional standards or expert reviews.""}","{""Privacy"": ""隐私规范来源不清；数据来自某法域，却声称适用于所有法域。"", ""Fairness"": ""直接搬用身份类别，未说明来源和本地适配性。"", ""Trustworthiness"": ""事实题缺少证据来源、时间戳和更新机制。"", ""Professional domains"": ""医疗、心理、法律等专业来源并非来自专业规范或专家审核。""}","Do not confuse 'imperfect source' with R3 failure. The issue is mismatch between claim and source — e.g., Reddit data can validly support 'online help-seeking expression', but not 'clinical crisis intervention'.",不要将‘来源不完美’等同于 R3 低分。关键在于主张与来源是否匹配——例如 Reddit 数据可有效支撑‘在线求助表达’，但不能支撑‘临床危机干预’。,T10; T05; T13
R5,Real-world harm linkage,现实伤害路径连接,"The benchmark labels outputs as harmful, unsafe, or unfair without explaining how model errors translate into concrete real-world consequences, affected parties, protected interests, severity, or deployment context.",评测将模型输出标记为有害、不安全或不公平，但未说明模型错误如何转化为具体的现实后果、受影响方、受保护利益、伤害严重性或部署场景。,"""harmful"" but no harm to whom; ""privacy violation"" but no info-flow-to-harm chain; ""unsafe"" but no operational feasibility or consequence; ""bias"" but no opportunity denial, representation harm, or resource impact; ""toxic"" but no deployment consequences specified",标称‘有害’但未说明伤害对象; 称‘侵犯隐私’但未说明信息流如何致害; 称‘不安全’但未说明可操作性或实际后果; 称‘偏见’但未说明机会剥夺、表征伤害或资源分配影响; 称‘有毒’但未说明部署后的现实后果,task rationale; risk description; harm taxonomy; label rationale; failure analysis; limitations; scenario description; deployment context,"Who would use the model's erroneous output?; Who would be affected by it?; Which protected interest is harmed (e.g., autonomy, privacy, safety)?; What is the causal pathway from model failure to real-world harm?; How severe is the harm, and is it reversible?; Are mitigation strategies or safe alternatives identified?",谁会使用模型的错误输出？; 谁会因此受到影响？; 伤害了哪些受保护利益（如自主权、隐私、安全）？; 从模型失效到现实伤害的因果路径是什么？; 伤害严重程度如何？是否可逆？; 是否提出了缓解措施或安全替代方案？,"{""Privacy"": ""It does not explain how information leaks can lead to discrimination, harassment, identity theft, or loss of autonomy."", ""Safety"": ""Does not specify whether the request is actionable, or whether it could cause physical/cyber/public safety harm"", ""Fairness"": ""Does not explain how bias leads to opportunity deprivation, service degradation, or unfair resource allocation"", ""Human-Centered"": ""Does not explain how erroneous responses affect the user's psychological safety, autonomy, or professional help-seeking behavior"", ""Trustworthiness"": ""Not explained how hallucinations can lead to incorrect decisions, financial loss, or medical/legal risks""}","{""Privacy"": ""未说明信息泄露如何导致歧视、骚扰、身份盗用或自主权受损"", ""Safety"": ""未说明请求是否可操作，或是否可能造成身体/网络/公共安全伤害"", ""Fairness"": ""未说明偏见如何导致机会剥夺、服务降级或资源分配不公"", ""Human-Centered"": ""未说明错误回应如何影响用户心理安全、自主权或专业求助行为"", ""Trustworthiness"": ""未说明幻觉如何导致错误决策、财产损失或医疗/法律风险""}","Not all benchmarks require full deployment simulation; R5 is lenient for narrow tasks like language toxicity detection, but strict when claiming high-stakes ethical risk.",并非所有评测都必须具备完整部署模拟；若仅声称用于语言毒性检测等窄域任务，R5 可适当放宽；但若声称涉及高风险伦理影响，则R5必须严格。,T01; T04; T11; T03
R1,Construct Clarity,构念边界清晰度,"The benchmark uses broad ethical terms (e.g., 'fairness', 'safety') without defining them operationally or linking them to specific, measurable tasks and metrics.",基准测试使用宽泛的伦理术语（如“公平性”“安全性”），但未对其进行可操作化定义，也未将其与具体、可测的任务和指标建立明确联系。,we evaluate model ethics but do not define ethics; we measure safety but only use refusal rate; we measure fairness but only test stereotype association; we measure trustworthiness but only use fact QA; overall ethical ability score without construct decomposition,我们评估模型伦理性，但未定义伦理; 我们测量安全性，但仅用拒绝率; 我们测量公平性，但仅测刻板印象关联; 我们测量可信度，但仅用事实问答; 整体伦理能力得分，无构念分解,paper title; paper abstract; introduction; benchmark claim; README overview; task description; metric description; conclusion / leaderboard description,"What construct does the benchmark claim to measure?; Is there an operational definition of that construct?; Does the construct have specified sub-dimensions?; Which part of the construct is actually measured by the task?; What claim is *actually* supported by the metric?; Does the paper explicitly state unsupported or out-of-scope claims?; If you replace the broad term (e.g., 'ethics') in the title with the concrete behavior tested, what remains?",该基准测试声称测量什么构念？; 该构念是否有可操作化定义？; 该构念是否划分了子维度？; 任务实际测量了该构念的哪一部分？; 指标实际支持何种主张？; 论文是否明确说明了不支持或超出范围的主张？; 若将标题中的宽泛术语（如‘伦理’）替换为实际测试的具体行为，还剩下什么？,"{""Fairness"": ""Only testing for gender stereotype associations in occupation fill-ins, yet claiming to measure fairness"", ""Safety"": ""Only tests for rejection of harmful requests, does not test for over-rejection, safe continuation, or multi-round robustness"", ""Privacy"": ""Only tests for PII leakage, does not test information flow, authorization, recipient, or purpose inference"", ""Trustworthiness"": ""Only tests the accuracy of factual Q&A, does not test evidence traceability, proactive refusal to answer, timeliness, or citation validity"", ""Human-Centered"": ""Only tests for helpfulness or psychological knowledge, but claims to measure dignity, autonomy, or psychological support""}","{""Fairness"": ""只测职业填空中的性别刻板印象关联，却声称测公平性"", ""Safety"": ""只测有害请求拒绝，未测过度拒绝、安全续写或多轮鲁棒性"", ""Privacy"": ""只测PII泄露，未测信息流、授权、接收方或用途推理"", ""Trustworthiness"": ""只测事实问答准确性，未测证据溯源、主动拒答、时效性或引文有效性"", ""Human-Centered"": ""只测帮助性或心理学知识题，却声称测尊严、自主性或心理支持""}","Do not penalize R1 for narrow scope alone — a benchmark that explicitly states 'This only measures stereotype associations in English occupation descriptions' may score highly on R1. R1 targets overclaiming, not narrowness.",不要仅因任务范围窄就扣R1分——若基准明确声明‘本测试仅测量英文职业描述中的刻板印象关联’，R1反而可能得高分。R1批评的是主张超出任务支撑范围，而非任务本身窄。,T01; T11; T10
R2,Normative Grounding,规范依据清晰度,"The benchmark assigns ethical labels (e.g., 'ethical'/'unethical') without specifying the underlying normative authority—such as law, professional ethics, ethical theory, expert judgment, or community evidence—and treats crowd preferences or platform policies as universal moral truths.",基准测试赋予伦理标签（如‘符合伦理’/‘违背伦理’），但未说明其背后的规范依据（如法律、职业伦理、伦理理论、专家判断或受影响群体证据），并将众包偏好或平台政策误当作普适道德真理。,"we use majority vote as ground truth for ethical controversy; unsafe / harmful without harm taxonomy; privacy violation without consent, purpose, or recipient; professional advice without scope-of-practice boundary; moral correctness without ethical theory or expert basis; global ethical values based on single-culture data",用多数投票作为伦理争议题的真值; 标‘不安全/有害’但无危害分类体系; 标‘侵犯隐私’但未说明授权、目的或接收方; 标‘专业建议’但无执业边界界定; 标‘道德正确’却无伦理理论或专家依据; 声称‘全球伦理价值’但数据仅来自单一文化群体,annotation guideline; label definitions; gold answer rationale; normative references; paper methodology; dataset card; benchmark card; appendix labeling protocol,"Why does this label hold? What justifies it?; Where does this justification originate?; Is the source law, policy, professional ethics, expert judgment, community evidence, ethical theory, or descriptive preference?; Does the source specify its cultural, jurisdictional, or professional domain of applicability?; Does the benchmark distinguish red-line prohibitions, consensus norms, contested claims, or insufficient evidence?; Is descriptive preference (e.g., crowd vote) conflated with normative truth?",该标签为何成立？依据是什么？; 这一依据来自何处？; 该来源是法律、政策、职业伦理、专家判断、受影响群体证据、伦理理论，还是描述性偏好？; 该来源是否明确其适用的文化、法域或专业领域？; 基准是否区分了红线禁令、共识规范、争议主张或证据不足的情形？; 是否将描述性偏好（如众包投票）等同于规范性真理？,"{""Fairness"": ""No anti-discrimination norms or affected-community evidence; no basis for protected/proxy attributes"", ""Safety"": ""No explanation of why specific behaviors constitute misuse; unsafe labeling based only on keywords"", ""Privacy"": ""Missing consent, authorization, purpose limitation, minimum necessary, recipient role, or legal basis"", ""Trustworthiness"": """", ""Human-Centered"": ""No engagement with affected-community evidence or participatory norm-setting for community harms""}","{""Fairness"": ""缺少反歧视规范或受影响社区证据；没有说明受保护属性或代理属性的依据。"", ""Safety"": ""没有说明特定行为为何构成滥用；仅凭关键词标注不安全。"", ""Privacy"": ""缺少同意、授权、目的限制、最小必要、接收者角色或法律依据。"", ""Trustworthiness"": """", ""Human-Centered"": ""未使用受影响社区证据，也未通过参与式规范设定来处理社区伤害。""}","R2 is not about requiring legal citations in all cases. It is about transparency of normative source type and scope—not whether a source is 'strong', but whether it is named, bounded, and appropriately qualified.",R2 并非要求数所有基准都引用法律。其核心是规范来源类型与适用范围的透明性——不在于来源是否‘强有力’，而在于是否被明确命名、划界并恰当标注不确定性。,T02; T12; T04; T03
R11,Dataset construction and annotation QA,数据构建与标注质保,"It is unclear how data and labels were produced, or there is no quality assurance process in place for annotation.",数据和标签的生产过程不清晰，或缺乏标注质量保障机制。,crowd labels for high-risk professional tasks; no annotation guideline; no IAA / agreement; AI-generated items without human review; no conflict resolution; no label quality audit,高风险专业任务使用众包标注; 无标注指南; 无标注者间一致性（IAA）/一致性统计; AI生成样本未经人工审核; 无分歧解决机制; 无标签质量审计,dataset construction section; annotation guideline; annotator qualification; quality control process; agreement statistics; expert review; data filtering / deduplication; dataset card; appendix,How was the data collected?; Was data cleaned and deduplicated?; Who performed the annotation?; Were annotators trained?; Does the task require domain expertise?; How were labeling disagreements resolved?; Was there expert review of labels?; Was inter-annotator agreement reported?,数据是如何收集的？; 是否进行了数据清洗和去重？; 由谁执行标注？; 标注员是否接受过培训？; 该任务是否需要领域专业知识？; 标注分歧如何解决？; 是否有专家对标签进行复核？; 是否报告了标注者间一致性（IAA）？,"{""Fairness"": ""The group of annotators is not transparent; there is no review by the affected community"", ""Safety"": ""Lack of expert/red team review for harm category labeling"", ""Privacy"": ""Information flow judgment lacks legal/privacy expert or regulatory basis"", ""Truthfulness"": ""Factual labels lack evidence verification""}","{""Fairness"": ""标注者群体不透明；没有受影响社群审查"", ""Safety"": ""危害类别标注缺乏专家或红队审核。"", ""Privacy"": ""信息流判断缺乏法务/隐私专家或规范依据"", ""Truthfulness"": ""事实类标签缺乏证据验证""}","Lack of expert annotation is not inherently problematic for simple language classification tasks; crowd annotation can be appropriate. However, it becomes a gap when high-stakes professional judgment is required.",缺少专家标注本身不一定有问题——普通语言分类任务中众包标注可接受；但当任务涉及高风险专业判断时，仅靠众包即构成缺陷。,T13
R8,Label structure and disagreement design,标签结构与分歧设计,"Complex ethical questions are forced into a single gold label, ignoring moral ambiguity, insufficient evidence, expert dependency, or cultural relativity.",复杂的伦理问题被强行压缩为单一黄金标签，忽视道德模糊性、证据不足、专家依赖性或文化相对性。,Moral dilemma labeled yes/no; Political/cultural value question with single gold label; No expert escalation in psychological/medical/legal scenarios; No 'insufficient evidence' option for ambiguous items; Privacy decision limited to 'allow/refuse' without consent/redact/clarify options,道德困境仅标是/否; 政治/文化价值题使用单一黄金标签; 心理/医疗/法律场景无专家升级机制; 模糊题目缺少‘证据不足’选项; 隐私决策仅限‘允许/拒绝’，无‘征得同意/脱敏/请求澄清’等选项,label schema; answer key; annotation guideline; gold rationale; disagreement resolution; label distribution; expert review notes,Does this task truly have a single correct answer?; Which cases are red-line (non-negotiable prohibitions)?; Which cases reflect consensus vs. reasonable disagreement?; Which cases lack sufficient evidence to justify any label?; Which cases require expert escalation due to domain complexity?,该任务是否真的有唯一正确答案？; 哪些案例属于红线（不可协商的禁止行为）？; 哪些案例反映共识，哪些属于合理分歧？; 哪些案例因证据不足而无法支持任何标签？; 哪些案例因领域复杂性需专家升级处理？,"{""Fairness"": ""Lack of ambiguous vs. clear labels; does not allow for 'insufficient evidence to determine' when evidence is lacking"", ""Safety"": ""Lack of distinction between educational, defensive, fictional, and operational harmfulness"", ""Privacy"": ""Lacks allow / refuse / ask for consent / redact / minimize / insufficient authorization"", ""Professional advice"": ""Lack of expert escalation, boundary maintenance, insufficient information"", ""Moral dilemmas"": ""Lacks acceptable disagreement""}","{""Fairness"": ""缺少模糊vs明确标签；证据不足时不允许‘不足以判断’"", ""Safety"": ""缺少教育性/防御性/虚构性/操作性有害的区分"", ""Privacy"": ""缺少允许、拒绝、请求同意、脱敏、最小化、授权不足等标签。"", ""Professional advice"": ""缺少专家升级、边界维护、信息不足等标签。"", ""Moral dilemmas"": ""缺少“可接受分歧”标签。""}",Not all ethics benchmarks must allow disagreement; some red-line cases legitimately demand firm labels. R8 is about structural alignment between label design and question type—not diversity for its own sake.,并非所有伦理基准都必须允许多元分歧；某些红线案例本就应有确定标签。R8 关注的是标签结构是否匹配问题类型，而非为多元而多元。,T12; T02; T11
R13,Documentation and Reproducibility,文档完整性与可复现性,"Others cannot understand, run, reproduce, or audit the benchmark after obtaining it.",他人获取 benchmark 后无法理解、运行、复现或审计。,paper exists but code/data missing; README and paper list different tool/rubric counts; metric mentioned only once in main text; prompt missing; license missing; no quick-start guide; results cannot be replicated,paper 有，code/data 没有; README 和 paper 用不同 tool/rubric 数量; metric 只在正文一句话提到; prompt 缺失; license 缺失; no quick-start guide; results cannot be replicated,GitHub repository; README; requirements file; scripts; dataset card; benchmark card; license; schema; prompt files; evaluation code; release notes; paper appendix,"Can others download the data?; Can others run the evaluation scripts?; Are prompts and scoring rules publicly available?; Is the metric clearly defined?; Is the license clearly stated?; Are intended use and out-of-scope use explicitly documented?; Are the paper, README, and data files consistent?",别人能下载数据吗？; 能运行 evaluation scripts 吗？; prompt / scoring rule 是否公开？; metric 是否定义清楚？; license 是否清楚？; intended use 和 out-of-scope use 是否写明？; paper、README、data file 是否一致？,"{""Fairness"": """", ""Safety"": ""Lack of harmful content warnings, access controls"", ""Privacy"": ""Lack of data processing/sensitive data policy"", ""Trustworthiness"": ""Lack of factual sources, timestamps, and retrieval settings"", ""Human-Centered"": ""Lack of environmental configuration, tool permissions, and trace logs""}","{""Fairness"": """", ""Safety"": ""缺少有害内容警告、访问控制"", ""Privacy"": ""缺少数据处理/敏感数据政策"", ""Trustworthiness"": ""缺少事实来源、时间戳、检索设置"", ""Human-Centered"": ""缺少环境配置、工具权限、轨迹日志""}","Data restriction for safety reasons is not inherently an R13 gap — but requires clear justification, access mechanism, public metadata, and alternative reproducibility support.",因安全原因限制数据公开不必然导致 R13 低分，但需明确说明限制原因、访问方式、公开的元数据，以及无完整发布时的可复现性支持措施。,T13
