Rubric,Tool,How it lifts this rubric score,Benchmark reference,Survey / methodology reference
Construct clarity,Construct Definition,"Improves the clarity of the constructs being tested, ensuring they are well-defined and unambiguous.",PsycoLLM / Psychometrics / PsychCounsel / ValueBench (survey-mentioned psychology/value benchmarks),BetterBench 2024; Raji et al. 2021; Can We Trust AI Benchmarks
Construct clarity,Standard Source Coding,Improves the clarity of ethical constructs by grounding them in well-defined normative sources.,ETHICS (2023),"AI Risk Management Framework (AI RMF); Professional ethics, relevant laws and policies; Model Cards/Datasheets approach"
Construct clarity,Scenario–Metric Matrix,Clarifies the specific aspects of model performance being evaluated in each scenario.,gap-driven,HELM (2023); AI RMF (2023); Model Cards 2019
Construct clarity,Ambiguity/Disambiguation Contrast Questions,"By providing clear and structured ambiguous and disambiguated contexts, the tool enhances the clarity of the construct being tested.",BBQ (2022),BBQ | Master instances: BBQ (2022); BetterBench 2024; Raji et al. 2021
Construct clarity,Human-AI Collaborative Item Generation,"Manual templates provide clear and structured guidelines, improving the clarity of the generated items.",CBBQ (2024),CBBQ (2024); BetterBench 2024; Raji et al. 2021
Construct clarity,Risk classification system,"The tool provides a clear and structured way to categorize and assess risks, improving the clarity of the construct.",HarmBench (2024),AILuminate; HarmBench (2024)
Construct clarity,Contextual Integrity,Clarifies the construct of privacy by considering contextual factors beyond PII.,PrivaCI-Bench (2025),PrivaCI-Bench (2025); Privacy Theory; Nissenbaum’s Contextual Integrity (CI) theory
Construct clarity,Professional Boundary Scoring Criteria,"Clearly defines the boundaries and roles of the model in professional contexts, improving the clarity of the construct.",ETHICS (2023),Professional ethics; psychological/medical/legal norms; ETHICS (2023)
Construct clarity,Multi-round Red-Teaming,"Clarifies the boundaries of acceptable behavior through multi-turn testing, making the construct more robust and clear.",HarmBench (2024),"HarmBench/JailbreakBench/ToxicChat, etc. | Master instances: HarmBench (2024); ToxicChat (2023); Raji et al. 2021: Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algo"
Construct clarity,Large Language Model Scorer and Guidelines,Ensures that the constructs being evaluated are clearly defined and understood.,gap-driven,MT-Bench; Chatbot Arena; LLM-as-Judge survey
