Integration instructions by tool,,,,,,,,
Toolbox,Chinese translation,Core approach,Solved benchmark issues,Enhanced evaluation criteria,Applicable Ethical Scenarios,Source / Paper,Limitations,Example mini-case (with comparison)
Construct definition,Construct definition,"Clarify the capabilities, risks, or ethical constructs that the benchmark claims to test, and explain how these are operationalized into tasks.",Vague terminology; weak construct validity,"Construct clarity, normative foundation",All Ethical Scenarios,BetterBench、Raji et al.、Can We Trust AI Benchmarks | Master instances: PsycoLLM / Psychometrics / PsychCounsel / ValueBench (survey-mentioned psychology/value benchmarks); MoralBench / MIC (survey-mentioned value benchmarks),Requires domain expertise; high upfront cost.,"In the mental health hotline dialogue dataset, after inputting the original user’s self-disclosure text, the model is constrained to generate a structured response aligned with PHQ-9 Item 3 (“Little interest or pleasure in doing things”): first confirming perception (“You mentioned recently finding it difficult to muster motivation for activities…”), then offering evidence-based support options (excluding medication recommendations, instead focusing on behavioral activation strategies), and fina"
Normative source coding,Standard Source Coding,"Extract principles, duties, prohibited actions, and applicable scenarios from law, policy, ethical theory, and professional codes of conduct.",Unclear source of ethical judgment; rubric difficult to justify.,"Normative foundation, source adaptation","Fairness, privacy, healthcare, psychology, law, etc.","AI Risk Management Framework (AI RMF), professional ethics, relevant laws and policies, Model Cards/Datasheets approach | Master instances: ETHICS (2023)",Easily becomes abstract; needs to be grounded in concrete scenarios.,"In the medical AI consultation dialogue dataset, this schema can be reused to relabel decision recommendations in physician–patient interactions (e.g., “whether to disclose a terminal diagnosis”) along three ethical axes: deontology (physician duties), care ethics (patient psychological well-being), and justice ethics (fairness in resource allocation), thereby evaluating model response consistency under varying ethical weightings."
Scenario × metric matrix,Scenario–Metric Matrix,"Split the evaluation into multiple scenarios and multiple metrics, rather than a single overall score.",Single-score masking of diverse risks and trade-offs,"Metric validity, scenario authenticity",Comprehensive Trustworthiness Evaluation and Model Profiling,Expert-recommended (gap-driven; no benchmark instance in master corpus). HELM,Increased number of metrics raises interpretation cost.,
Behavioral testing,Behavioral Testing Matrix,"Generate tests using a capability × test-type system, rather than relying solely on held-out accuracy.",Ordinary accuracy overestimates capability and makes it difficult to pinpoint specific bugs.,Task format adaptation; scenario authenticity,"Safety, bias, trustworthiness, etc.",Expert-recommended (gap-driven; no benchmark instance in master corpus). CheckList,Original method leans toward NLP behavioral testing and requires ethical adaptation.,
Ambiguous/disambiguated contrast,Ambiguity/Disambiguation Contrast Questions,Test bias under both information-deficient and information-sufficient contexts.,Tests only surface-level stereotypes and cannot distinguish between uninformed random guessing and bias that overrides factual information.,"Task format alignment, Construct clarity",Fairness bias,BBQ | Master instances: BBQ (2022),Still biased toward short-text QA; insufficient real-world institutional scenarios.,"In the Chinese customer service dialogue dataset, ambiguous contexts (e.g., “This elderly customer repeatedly questions the refund process”) and disambiguating contexts (e.g., “This 72-year-old retired teacher repeatedly confirms details due to visual impairment preventing clear reading of the terms”) can be constructed from user complaint texts, while keeping the question “Who is more likely to be unreasonable?” and its answer options unchanged, to detect model sensitivity to age-based stereoty"
Cultural adaptation protocol,Cultural Adaptation Process,Localize existing benchmarks rather than directly translating them.,Cross-cultural migration distortion,Context and Subject Coverage; Source Adaptation,"Cross-cultural bias, Chinese ethical scenarios","KoBBQ, CBBQ, NaVAB, etc. | Master instances: KoBBQ (2024); CBBQ (2024); NaVAB (2025)",Requires local expertise and cultural knowledge,"Constructing a dataset for AI assistants in Japanese workplaces using the KoBBQ framework: first applying “Japanese cultural filtering” to the Japanese translation of BBQ (removing questions unrelated to Japan’s lifetime employment system and seniority-based wage/promotion system), then augmenting with dimensions from Japan’s Ministry of Health, Labour and Welfare’s White Paper on Workplace Discrimination—such as “non-regular employees (part-timers)”, “older workers (65+)”, and “workers from reg"
Human-AI collaborative generation,Human-AI collaborative item generation,Use manual templates to ensure directionality; use models to scale up samples in bulk.,Manual question generation is slow; pure model-based question generation yields unstable quality.,"Coverage adequacy, quality assurance","Fairness, safety, privacy, psychology, etc.","CBBQ, etc. | Master instances: CBBQ (2024)","Human quality inspection is mandatory; otherwise, model biases will be amplified.","In an AI-assisted question-generation system for training grassroots civil servants in China, the CBBQ four-stage process is adopted: AI extracts ambiguous statements concerning topics such as “employment of persons with disabilities” and “staffing quotas for rural-hukou teachers” from government bulletins and petition platforms; these statements are then disambiguated by human resources and social security experts to generate policy-comprehension multiple-choice questions (MCQs), which are used"
Safe/unsafe contrast set,Safe/Unsafe Contrast Set,Design both safe but easily rejected prompts and genuinely unsafe prompts simultaneously.,"Measures only refusal rate, ignoring over-refusal.",Metric validity; task format alignment,"Safety refusal, psychological/medical boundaries",XSTest | Master instances: XSTest (2024),Primarily suitable for safety-related applications; requires migration to other scenarios.,"In a medical Q&A dataset, for each real patient query (e.g., “How to relieve migraine”), manually construct a semantically safe but lexically vague/metaphorical counterpart (e.g., “What can I do to make my head quiet down, like turning off an old, buzzing air conditioner?”), forming contrastive pairs to evaluate whether medical large language models erroneously reject legitimate health inquiries due to terminological uncertainty."
Hazard taxonomy,Risk classification system,Categorize safety risks into multiple hazard types and establish response criteria.,"Security risks are overly broad, making structured assessment infeasible.","Construct clarity, metric validity","Safety, Harmful Content, Abuse Prevention","AILuminate, HarmBench, etc. | Master instances: HarmBench (2024)",Potentially biased toward content harm; difficult to cover long-term institutional risks.,"In the financial risk control dialogue dataset, reconstruct HarmBench’s taxonomy based on China’s Interim Measures for the Management of Generative Artificial Intelligence Services and the CBIRC’s anti-money laundering guidelines: label “forging bank statements” as red-line (explicitly illegal), and label “teaching users reasonable tax planning” as disputed; then re-annotate 1,000 customer service dialogues using this labeling scheme to drive the model to learn how to provide ambiguous responses"
Contextual integrity,Contextual Integrity,"Determine whether the information flow is appropriate based on role, information type, purpose, and transmission principles.",Privacy is narrowly defined as PII.,"Scenario authenticity, connection to real-world harm, normative foundation","Contextual privacy, third-party privacy","PrivaCI-Bench, Privacy Theory | Master instances: PrivaCI-Bench (2025)",Requires legal/social norm knowledge; complex annotation.,"In the financial customer service speech-to-text dataset, this tool anchors Section 501 security standards of the U.S. Gramm-Leach-Bliley Act (GLBA) to customer call segments (e.g., “user discloses Social Security number for identity verification”), generating a multiple-choice question (MCQ) stem: “The agent stores this information in an unencrypted database—violating which GLBA requirement?” The accompanying vignette displays an internal bank data flow diagram (call center → CRM → risk control"
