role,benchmark,parent_tool_id,parent_tool_en,parent_tool_zh,subtool_name_en,subtool_name_zh,expert_label_cqj,expert_label_second_expert_yzx,expert_label_source,expert_label_match_note,expert_label_excel_row
primary,MoralMachine (2018),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,Cross-cultural trolley-style scenario matrix with 9-attribute orthogonal design,跨文化电车难题情景矩阵与九属性正交设计,多国语言、电车难题,9维电车题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,2
secondary,MoralMachine (2018),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Cross-cultural trolley-style scenario matrix with 9-attribute orthogonal design,跨文化电车难题场景矩阵九属性正交设计,多国语言、电车难题,9维电车题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,2
primary,MoralStories (2021),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Five-slot normative narrative template (Norm–Situation–Intention–Normative Action–Consequence),五要素规范叙事模板,norm规范遵守，假设行为后果,五槽道德故事,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,3
secondary,MoralStories (2021),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Five-slot normative narrative template (Norm–Situation–Intention–Normative Action–Consequence),五要素规范叙事模板,norm规范遵守，假设行为后果,五槽道德故事,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,3
primary,SCRUPLES (2021),T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Community-sourced real-life anecdote corpus with multi-stakeholder moral judgment labels (AUTHOR/OTHER/EVERYBODY/NOBODY/INFO),社区贡献的真实故事语料库与多利益相关方道德判断标签,真实案例、规范的争议性，分为复杂和简单行为,AITA帖子标签,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,4
secondary,SCRUPLES (2021),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Community-sourced real-life anecdote corpus with multi-stakeholder moral judgment labels (AUTHOR/OTHER/EVERYBODY/NOBODY/INFO),社区来源现实生活轶事语料库与多利益相关者道德判断标签映射器,真实案例、规范的争议性，分为复杂和简单行为,AITA帖子标签,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,4
primary,ETHICS (2023),T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Multi-theoretic moral subconstruct annotation schema,多理论道德子结构标注方案,五大伦理理论分类,五类伦理题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,5
secondary,ETHICS (2023),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Multi-theoretic moral subconstruct annotation schema,多理论道德子构念标注方案,五大伦理理论分类,五类伦理题,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,5
primary,MFQ-2 (2023),T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,Cross-culturally validated six-foundation moral judgment scale (MFQ-2),跨文化验证的六基石道德判断量表 MFQ-2,道德多元、跨文化,MFQ量表,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,6
secondary,MFQ-2 (2023),T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Cross-culturally validated six-foundation moral judgment scale (MFQ-2),跨文化验证六基石道德判断量表 MFQ-2,道德多元、跨文化,MFQ量表,HEART_Excel_二审yzx.xlsx / Tool来源分布表-cqj,exact: 一级标签 + Benchmark / Source,6
