tool_id,name_en,name_zh,layer,category_en,category_zh,core_practice_en,core_practice_zh,problem_fixed_en,problem_fixed_zh,core_rubrics_lifted,applicable_scope_en,applicable_scope_zh,boundary_vs_neighbors_en,boundary_vs_neighbors_zh,evidence_count,primary_match_count,automatable_en,automatable_zh,needs_human_en,needs_human_zh,limitations_en,limitations_zh
T01,Claim-Construct & Protected-Interest Mapper,声明-构念-受保护利益映射器,Content Validity,Construct & Normative Tools,Construct & Normative Tools,"Break down broad ethical statements into measurable constructs, sub-dimensions, boundaries, exclusion scopes, and protected interests, then define the claims that benchmark scores can support.",将宽泛伦理声明拆成可测构念、子维度、边界、排除范围和受保护利益，再限定 benchmark 分数能够支持的 claim。,"Address the issues of grandiose term floating, unclear construct boundaries, disconnection between principle names and specific protected interests, and scores being over-extrapolated.",修复大词漂浮、构念边界不清、原则名与具体受保护利益脱节、分数被过度外推的问题。,Construct clarity; Real-world harm linkage; Metric validity,"All ethical dimensions, especially fairness, privacy, human-centered, and trustworthiness.",所有伦理维度，尤其是 fairness、privacy、human-centered、trustworthiness。,"Preliminary construct/claim tool: It answers ""what is being measured, what is being protected, and what claims the scores can support."" It is not responsible for expanding the sample into a complete interaction scenario; that step is handled by T03.",前置的构念/claim 工具：回答“到底测什么、保护什么、分数能支持什么声明”。它不负责把样本扩写成完整互动场景；那一步交给 T03。,19,6,"Can automatically extract candidate constructs, sub-dimensions, protected interests, exclusion scope, and draft claim limitations.",可自动抽取候选构念、子维度、受保护利益、排除范围和 claim limitation 草稿。,"Requires human confirmation that the construct is reasonably argued, the protected interests are complete, and the claim limitations are sufficiently conservative.",需人工确认构念是否合理论证、受保护利益是否完整、claim limitation 是否足够保守。,"Cannot automatically determine ethical answers; still requires normative sources, scenario evidence, and expert calibration.",不能自动决定伦理答案；仍需规范来源、场景证据和专家校准。
T02,Normative Source & Decision-Boundary Ledger,规范来源与决策边界台账,Content Validity,Construct & Normative Tools,Construct & Normative Tools,"Register laws, policies, ethical theories, professional guidelines, platform rules, and community evidence, and distinguish between red lines, consensus, controversies, insufficient evidence, and situations requiring expert judgment.",把法律、政策、伦理理论、职业准则、平台规则和社区证据分别登记，并区分红线、共识、争议、证据不足和需专家判断的情形。,"Address the issues of unclear sources of ethical answers, crowd-sourced preferences being treated as ethical truths, professional overreach, and controversial questions being forcibly dichotomized.",修复伦理答案来源不清、众包偏好被当作伦理真值、专业越权、争议题被强行二元化的问题。,Normative grounding; Ground truth and disagreement design; Source provenance and evidence fitness,"Medical, psychological, legal, financial, minors, privacy, professional ethics, cross-cultural value judgments.",医疗、心理、法律、金融、未成年人、隐私、职业伦理、跨文化价值判断。,"Normative Basis Tool: It answers ""based on what rules/professional boundaries to make a judgment."" It does not directly generate questions, nor does it disguise controversial judgments as the sole truth.",规范依据工具：回答“依据什么规则/专业边界判定”。它不直接生成题目，也不把争议判断伪装成唯一真值。,34,7,"Can automatically organize candidate norm sources, red line/consensus/dispute labels, and conditions that need to be escalated to experts.",可自动整理候选规范来源、红线/共识/争议标签和需要升级给专家的条件。,"Requires domain experts to confirm the legal domain/normative level, professional overreach boundaries, handling of contentious issues, and priority of conflicting norms.",需领域专家确认法域/规范层级、专业越权边界、争议题处理和冲突规范优先级。,"Multiple sources are not necessarily better; it is necessary to specify the jurisdiction, normative level, scope boundary, and conflict resolution rules.",多源不是越多越好；要写明法域、规范层级、适用边界和冲突处理规则。
T03,Scenario-Stakeholder-Information-Flow Template,场景-利益相关方-信息流模板,Content Validity,Scenario & Data Construction Tools,Scenario & Data Construction Tools,"Use fixed slots to complete the roles, relationships, purposes, types of information, transmission objects, authorizations, constraints, risk consequences, affected parties, and expected/prohibited behaviors.",用固定槽位补全角色、关系、目的、信息类型、传输对象、授权、约束、风险后果、受影响者和预期/禁止行为。,"Address issues of questions being too short, decontextualization, narrow subject coverage, and lack of relational and purpose conditions in privacy/ethical judgments.",修复题目过短、去语境化、主体覆盖窄、隐私/伦理判断缺少关系和目的条件的问题。,Scenario validity; Context and stakeholder coverage; Real-world harm linkage,"Privacy, inclusivity, fairness, healthcare, legal, psychological, safety, corporate processes.",隐私、包容、公平、医疗、法律、心理、安全、企业流程。,"Sample-level scenario tool: answers ""in what specific interactions, who to whom, what information/action flow, and what consequences."" It is predicated on the constructs and normative boundaries of T01/T02.",样本级场景工具：回答“在什么具体互动中，谁对谁、什么信息/行动流、造成什么后果”。它以 T01/T02 的构念和规范边界为前提。,46,11,"Can automatically fill in scenario slots such as actor, affected party, purpose, information/action flow, constraints, and consequence, and generate variants.",可自动填充 actor、affected party、purpose、information/action flow、constraints、consequence 等场景槽位并生成变体。,"Need for human verification of scenario authenticity, stakeholder coverage, omission of vulnerable subjects, cultural/legal context, and harm chain.",需人工核查场景真实性、利益相关方覆盖、弱势主体遗漏、文化/法律语境和伤害链条。,The template cannot replace real cases; it is necessary to avoid all samples being rewritten into a homogeneous format.,模板不能代替真实案例；需要避免所有样本被改写成同质化格式。
T04,Risk-Tier & Hazard Taxonomy,风险等级与危害分类,Evaluation Design,Scenario & Data Construction Tools,Scenario & Data Construction Tools,"Layered by type of harm, risk intensity, subject vulnerability, urgency, reversibility, scale of harm, and expertise, define the boundaries for help / refuse / clarify / escalate.",按危害类型、风险强度、主体脆弱性、紧急性、可逆性、伤害规模和专业性分层，规定 help / refuse / clarify / escalate 的边界。,"Address the issues of overly broad security risk, one-size-fits-all rejection, confusion between crises and low risks, and inability to pinpoint risk levels.",修复安全风险过宽、一刀切拒绝、危机与低风险混淆、无法定位风险等级的问题。,Real-world harm linkage; Scenario validity; Task-format fit,"Safety and reliability, psychological crisis, medical and legal advice, minors, physical safety, financial/cybersecurity.",安全可靠、心理危机、医疗法律建议、未成年人、物理安全、金融/网络安全。,"Risk stratification tool: focuses on types of harm, urgency, vulnerability, and escalation boundaries; does not replace a full ethical theory or professional diagnosis.",风险分层工具：关注危害类型、紧急性、脆弱性和升级边界；不替代完整伦理理论或专业诊断。,6,6,"Can automatically generate an initial risk level, hazard category, and help/refuse/clarify/escalate recommendations based on keywords and scenario features.",可自动依据关键词和场景特征生成初步风险等级、hazard category、help/refuse/clarify/escalate 建议。,"Requires professionals to calibrate risk levels, crisis thresholds, referral conditions, and the costs of false negatives/false positives.",需专业人员校准风险等级、危机阈值、转介条件和错误拒答/错误帮助的代价。,Risk levels need to be calibrated by domain experts; they cannot be directly used as gold labels after being generated by the model.,风险等级需领域专家校准；不能由模型生成后直接作为 gold label。
T05,Cultural & Cross-Lingual Adaptation Protocol,文化与跨语言适配流程,Content Validity,Scenario & Data Construction Tools,Scenario & Data Construction Tools,"Migrate the identity categories, institutional scenarios, language cues, social norms, and annotation rules of the original benchmark to the local culture/language, and conduct a review by local experts or the community.",将原 benchmark 的身份类别、制度场景、语言线索、社会规范和标注规则迁移到本地文化/语言，并进行本地专家或社区复核。,"Repair issues of literal translation distortion in English/Western contexts, mismatched identity categories, absence of local institutions, and cross-cultural value misinterpretations.",修复英文/西方语境直译失真、身份类别不适配、本土制度缺位和跨文化价值误读的问题。,Context and stakeholder coverage; Normative grounding; Source provenance and evidence fitness,"Cross-cultural fairness, value alignment, privacy, family/professional/educational ethics, multilingual safety.",跨文化公平、价值对齐、隐私、家庭/职业/教育伦理、多语言安全。,"Cultural/Linguistic Adaptation Tool: Focuses on the localization of institutional, identity, linguistic, and value contexts; does not interpret all differences as cultural relativism.",文化/语言迁移工具：关注制度、身份、语言和价值语境的本地化；不把所有差异都解释为文化相对主义。,12,10,"Can automatically replace language, location, institution, identity terms, and cultural scripts, and generate localized candidate versions.",可自动替换语言、地点、制度、身份称谓和文化脚本，并生成本地化候选版本。,"Needs local experts or community to review identity categories, institutional context, translation equivalence, and fundamental rights red lines.",需本地专家或社区审阅身份类别、制度语境、翻译等值性和基本权利红线。,"Cultural adaptation should not become cultural relativism; fundamental rights, harm red lines, and jurisdictional boundaries still need to be clarified.",文化适配不能变成文化相对主义；基本权利、伤害红线和法域边界仍需说明。
T06,Contrast-Set Builder,对照集构造器,Evaluation Design,Task & Interaction Design Tools,Task & Interaction Design Tools,"Construct minimal difference, ambiguous-disambiguation, safe-unsafe, proxy variable, and neutral rephrasing control samples to isolate whether the model is relying on cues it should not.",构造最小差异、模糊-消歧、安全-不安全、代理变量和中性改写等对照样本，隔离模型是否依赖不该依赖的线索。,"Repair issues with the inability to distinguish task difficulty, factual understanding, bias defaults, excessive rejection, and evidence coverage.",修复无法区分任务难度、事实理解、偏见默认、过度拒绝和证据覆盖能力的问题。,Task-format fit; Data and annotation QA; Metric validity,"Fairness bias, safety refusal, privacy purpose changes, value conflicts, robustness.",公平偏见、安全拒答、隐私目的变化、价值冲突、鲁棒性。,"Reference sample tool: Only change one key variable to pinpoint model dependencies; not suitable for carrying complex, multi-variable real-world case narratives.",对照样本工具：只改变一个关键变量以定位模型依赖；不适合承载复杂、多变量的真实案例叙事。,12,12,"Can automatically generate minimally different, counterfactual, ambiguous-disambiguated, safe-unsafe, or proxy variable control samples.",可自动生成最小差异、反事实、模糊-消歧、安全-不安全或代理变量对照样本。,"Manual verification is required to ensure that the benchmark item only changes the target variable, and that the semantics, difficulty, and answer space remain comparable.",需人工验证对照项是否只改变目标变量，且语义、难度和答案空间保持可比。,The control sample must maintain semantic equivalence or clearly specify the only variable that has been changed.,对照样本必须保持语义等价或明确说明改变的唯一变量。
T07,Behavioral Coverage Matrix,行为覆盖矩阵,Evaluation Design,Task & Interaction Design Tools,Task & Interaction Design Tools,"Design a coverage matrix by capability, scenario, stakeholder, risk modifier, test type, and expected behavior, systematically identifying failure modes.",按 capability、scenario、stakeholder、risk modifier、test type 和 expected behavior 设计覆盖矩阵，系统定位 failure mode。,"Repairing the benchmark only involves a collection of questions, without covering logic, and cannot explain what has not been tested.",修复 benchmark 只是题目集合、没有覆盖逻辑、无法说明没测到什么的问题。,Task-format fit; Scenario validity; Data and annotation QA,"Comprehensive ethical benchmark, privacy matrix, security behavior testing, fairness/reliability multi-scenario evaluation.",综合伦理 benchmark、隐私矩阵、安全行为测试、公平/可信多场景评测。,Cover design tool: Plan the sampling grid of capability × scenario × risk; it does not directly specify the normative answer for each grid cell.,覆盖设计工具：规划能力×场景×风险的抽样格子；不直接说明每个格子的规范答案。,5,3,"Can automatically generate a coverage matrix, count empty cells, and sample or generate candidate questions for each cell.",可自动生成覆盖矩阵、统计空格子，并为每个格子抽样或生成候选题。,"Manual decisions are required for coverage priorities, sampling weights, unmeasurable scope, and matrix maintenance plans.",需人工决定覆盖优先级、抽样权重、不可测范围和矩阵维护计划。,The matrix can easily become inflated; it requires a sampling strategy and a maintenance plan.,矩阵容易膨胀；需要抽样策略和维护计划。
T08,Multi-Turn & Adversarial Red-Team Protocol,多轮与对抗红队协议,Evaluation Design,Task & Interaction Design Tools,Task & Interaction Design Tools,"Test boundary stability through multiple rounds of诱导, role-playing, emotional manipulation, context pollution, prompt injection, and semantic disguise.

(Note: The term ""诱导"" was left untranslated as it seems to be a technical term or specific action in the context provided. If it should be translated, please provide further instructions.)",通过多轮诱导、角色扮演、情绪操控、上下文污染、prompt injection 和语义伪装测试边界稳定性。,"Repair single-round safety tests that fail to detect boundary drift, long-term interaction, and strategic circumvention issues.",修复单轮安全题测不到边界漂移、长期互动和策略性绕过的问题。,Task-format fit; Scenario validity; Robustness against gaming and contamination,"Safety, privacy leaks, illegal activities, psychological dependence, manipulation and persuasion, jailbreaking.",安全、隐私泄露、违法犯罪、心理依赖、操控说服、越狱。,Interaction Robustness Tool: Test multi-round inducement and boundary bypassing; do not equate attack success rate with overall security.,交互鲁棒性工具：测试多轮诱导和绕过边界；不把攻击成功率等同于全部安全性。,22,18,"Can automatically expand multi-round attack chains, role-playing, semantic disguise, and stop condition recording templates.",可自动扩展多轮攻击链、角色扮演、语义伪装和停止条件记录模板。,"Requires human review of attack intensity, ethical boundaries, stopping conditions, labeling risks, and whether it will generate inappropriate reusable attack materials.",需人工审查攻击强度、伦理边界、停止条件、标注风险和是否会产生不当可复用攻击材料。,"Need to document the attack strategy, stopping conditions, and scoring rules; the cost is higher than static QA.",需记录攻击策略、停止条件和评分规则；成本高于静态 QA。
T09,Agent & Workflow Simulation,智能体与工作流仿真,Evaluation Design,Task & Interaction Design Tools,Task & Interaction Design Tools,"Place the model in tasks involving tool calls, files, emails, databases, web pages, approval flows, and environmental states, testing the consequences of actions rather than text answers.",把模型放入有工具调用、文件、邮件、数据库、网页、审批流和环境状态的任务中，测试行动后果而非文本答案。,"Fixing text security does not equate to action security; static QA cannot test issues of overstepping authority, leaks, deception, and accountability.",修复文本安全不等于行动安全、静态 QA 无法测试越权、泄漏、欺骗和责任归属的问题。,Scenario validity; Real-world harm linkage; Robustness against gaming and contamination,"agent safety, enterprise data governance, automated decision-making, privacy, tool usage, administrative/customer service processes.",agent 安全、企业数据治理、自动化决策、隐私、工具使用、行政/客服流程。,"Action Consequence Tool: Tests for overstepping, leaks, and error recovery in tool invocation/workflows; not just evaluating whether the text response is polite.",行动后果工具：测试工具调用/工作流中的越权、泄漏和错误恢复；不只评价文本回答是否礼貌。,3,3,"Can automatically generate workflow status, allowed/prohibited actions, log check items, and draft sandbox task scripts.",可自动生成工作流状态、允许/禁止动作、日志检查项和沙盒任务脚本草案。,"Requires manual auditing of sandbox permissions, real business risks, log interpretation, responsibility attribution, and failure recovery standards.",需人工审计沙盒权限、真实业务风险、日志解释、责任归属和失败恢复标准。,The design of the environment itself affects the outcome; reproducible scripts and sandbox logs are required.,环境设计本身会影响结果；需要可复现脚本和沙盒日志。
T10,Evidence & Claim Verification Pipeline,证据与声明核验流水线,Content Validity,Task & Interaction Design Tools,Task & Interaction Design Tools,"Break down the response into atomic statements, requiring evidence retrieval, explicit evidence chains, entailment judgments, temporal validity, and uncertainty handling.",把回答拆成原子声明，要求检索证据、显式证据链、蕴含判断、时序有效性和不确定性处理。,"Address the issues of unclear hallucination granularity, missing evidence chain, untraceable multi-hop facts, and expired timeliness.",修复幻觉粒度不清、证据链缺失、多跳事实不可追溯和时效性失效的问题。,Source provenance and evidence fitness; Metric validity; Documentation and reproducibility,"Credibility and controllability, factuality, legal/medical/financial evidence support, news/knowledge updates.",可信性与可控性、事实性、法律/医疗/金融证据支持、新闻/知识更新。,"Evidence verification tool: tests whether statements are traceable, justifiable, and updatable; does not equate retrieval failure with factual error.",证据核验工具：测试声明是否可追溯、可证成、可更新；不把检索失败简单等同于事实错误。,16,13,"Can automatically split atomic statements, retrieve candidate evidence, and generate preliminary judgments of support/contradiction/insufficient evidence.",可自动拆分原子声明、检索候选证据、生成支持/矛盾/证据不足的初判。,"Manual verification is required for the authority and timeliness of the evidence, retrieval omissions, entailment relationships, and cautious expression of high-risk conclusions.",需人工核验证据权威性、时效性、检索遗漏、蕴含关系和高风险结论的审慎表述。,The quality of evidence retrieval affects the score; the inability to retrieve should not be directly equated with an error.,证据检索质量会影响评分；不能把检索不到直接等于错误。
