Dimension,Tool,Why it fixes problems in this dimension,Benchmark reference,Survey / methodology reference
Human-Centered,Construct Definition,Ensures that the ethical constructs in human-centered scenarios are clearly defined and operationalized.,PsycoLLM / Psychometrics / PsychCounsel / ValueBench (survey-mentioned psychology/value benchmarks),BetterBench 2024; Raji et al. 2021; Can We Trust AI Benchmarks
Human-Centered,Standard Source Coding,"Ensures that ethical judgments are grounded in well-defined normative sources, improving the clarity and justification of decisions.",ETHICS (2023),"AI Risk Management Framework (AI RMF); Professional ethics, relevant laws and policies; Model Cards/Datasheets approach"
Human-Centered,Scenario–Metric Matrix,Evaluates model performance across diverse human-centric scenarios and metrics.,gap-driven,HELM (2023); AI RMF (2023); Model Cards 2019
Human-Centered,Cultural Adaptation Process,Ensures that benchmarks are culturally relevant and contextually appropriate for different populations.,KoBBQ (2024),"KoBBQ, CBBQ, NaVAB, etc. | Master instances: KoBBQ (2024); CBBQ (2024); NaVAB (2025); BetterBench 2024; Raji et al. 2021"
Human-Centered,Proxy Variable Classification,Ensures that scenarios are more representative of real-world harm by considering subtle biases.,CBBQ (2024),Fair ML and anti-discrimination literature; BBQ/CBBQ adaptation
Human-Centered,Professional Boundary Scoring Criteria,"Ensures models respect professional boundaries, preventing overreach in sensitive domains.",ETHICS (2023),Professional ethics; psychological/medical/legal norms; ETHICS (2023)
Human-Centered,Agent Workflow Simulation,"Evaluates the robustness of agent actions in human-like scenarios, ensuring they align with user expectations.",gap-driven,"Agent-SafetyBench, ToolEmu, etc. | Master instances: Agent-SafetyBench (2025); BetterBench 2024; Raji et al. 2021"
Human-Centered,Large Language Model Scorer and Guidelines,"Improves the evaluation of open-ended responses, ensuring more accurate and fair assessments.",gap-driven,MT-Bench; Chatbot Arena; LLM-as-Judge survey
Human-Centered,Multi-rater Aggregation,Reduces bias and improves the reliability of human-centered evaluations.,gap-driven,Expert-recommended (gap-driven; no benchmark instance in master corpus). LLM judge-related research
Human-Centered,Benchmark/Dataset Card,Ensures clear and comprehensive documentation to prevent misuse and ensure proper application of the benchmark.,gap-driven,"Datasheets (Gebru et al., 2018); Model Cards (Mitchell et al., 2019); Data Cards (Holland et al., 2018); BetterBench (2024)"
Fairness & Inclusiveness,Construct Definition,"Clarifies the constructs related to fairness and inclusiveness, ensuring they are well-defined and measurable.",gap-driven,BetterBench 2024; Raji et al. 2021; Can We Trust AI Benchmarks
Fairness & Inclusiveness,Standard Source Coding,Provides a structured way to ensure that ethical considerations are inclusive and fair by referencing diverse normative sources.,gap-driven,"AI Risk Management Framework (AI RMF); Professional ethics, relevant laws and policies; Model Cards/Datasheets approach"
Fairness & Inclusiveness,Scenario–Metric Matrix,Ensures that different demographic groups are evaluated fairly across various scenarios.,gap-driven,HELM (2023); AI RMF (2023); Model Cards 2019
Fairness & Inclusiveness,Ambiguity/Disambiguation Contrast Questions,"This tool helps in identifying and mitigating biases that may arise from ambiguous or disambiguated contexts, ensuring fairer model behavior.",BBQ (2022),BBQ | Master instances: BBQ (2022); BetterBench 2024; Raji et al. 2021
Fairness & Inclusiveness,Cultural Adaptation Process,Reduces cross-cultural bias by adapting benchmarks to local contexts and values.,CBBQ (2024),"KoBBQ, CBBQ, NaVAB, etc. | Master instances: KoBBQ (2024); CBBQ (2024); NaVAB (2025); BetterBench 2024; Raji et al. 2021"
Fairness & Inclusiveness,Human-AI Collaborative Item Generation,"Ensures that generated items are culturally and contextually appropriate, reducing bias.",CBBQ (2024),CBBQ (2024); BetterBench 2024; Raji et al. 2021
