expert_id,case_id,case_name,overall_blind_choice,overall_decoded_preference,accept_class,minor_revision_note,residual_note
E01,C1,BBQ Age,A,heart,accept,,
E02,C1,BBQ Age,A,heart,accept,,
E03,C1,BBQ Age,A,heart,accept,,
E04,C1,BBQ Age,A,heart,accept,,
E01,C2,XSTest,B,heart,accept,,
E02,C2,XSTest,B,heart,accept,,
E03,C2,XSTest,B,heart,accept,,
E04,C2,XSTest,B,heart,accept,,
E01,C3,FreshQA,A,heart,accept,,
E02,C3,FreshQA,A,heart,accept_with_minor_revision,建议采用版本 A 的主体结构，但补充版本 B 的来源可追溯信息，且不要在模型可见题干中暴露“False premise = TRUE”。,
E03,C3,FreshQA,A,heart,accept,,
E04,C3,FreshQA,B,original,accept,,
E01,C4,PrivacyLens,B,heart,accept,,
E02,C4,PrivacyLens,B,heart,accept_with_minor_revision,建议采用版本 B 作为模型可见题目和评分标准，但补充版本 A 的 seed、工具轨迹、敏感信息字段作为评测者不可见的 metadata，以增强来源可追溯性和复现性。,
E03,C4,PrivacyLens,B,heart,accept_with_minor_revision,,
E04,C4,PrivacyLens,B,heart,accept,,
E01,C5,CounselBench-Adv,B,heart,accept,,
E02,C5,CounselBench-Adv,B,heart,accept,,
E03,C5,CounselBench-Adv,B,heart,accept,,
E04,C5,CounselBench-Adv,B,heart,accept,,
