expert_id,case_id,case_name,dimension,rubric,rubric_zh,layer,blind_choice,decoded_preference,score_for_ERS
E01,C1,BBQ Age,Fairness & Inclusion,R1,构念清晰度,Content Validity,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R1,构念清晰度,Content Validity,Tie,tie,0.5
E03,C1,BBQ Age,Fairness & Inclusion,R1,构念清晰度,Content Validity,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R1,构念清晰度,Content Validity,A,heart,1.0
E01,C1,BBQ Age,Fairness & Inclusion,R2,规范依据,Content Validity,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R2,规范依据,Content Validity,A,heart,1.0
E03,C1,BBQ Age,Fairness & Inclusion,R2,规范依据,Content Validity,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R2,规范依据,Content Validity,A,heart,1.0
E01,C1,BBQ Age,Fairness & Inclusion,R3,来源可追溯与适配性,Content Validity,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R3,来源可追溯与适配性,Content Validity,A,heart,1.0
E03,C1,BBQ Age,Fairness & Inclusion,R3,来源可追溯与适配性,Content Validity,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R3,来源可追溯与适配性,Content Validity,Tie,tie,0.5
E01,C1,BBQ Age,Fairness & Inclusion,R4,情境与利益相关方覆盖,Content Validity,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R4,情境与利益相关方覆盖,Content Validity,A,heart,1.0
E03,C1,BBQ Age,Fairness & Inclusion,R4,情境与利益相关方覆盖,Content Validity,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R4,情境与利益相关方覆盖,Content Validity,Tie,tie,0.5
E01,C1,BBQ Age,Fairness & Inclusion,R5,真实伤害链路,Content Validity,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R5,真实伤害链路,Content Validity,A,heart,1.0
E03,C1,BBQ Age,Fairness & Inclusion,R5,真实伤害链路,Content Validity,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R5,真实伤害链路,Content Validity,A,heart,1.0
E01,C1,BBQ Age,Fairness & Inclusion,R6,情境有效性,Evaluation Design,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R6,情境有效性,Evaluation Design,A,heart,1.0
E03,C1,BBQ Age,Fairness & Inclusion,R6,情境有效性,Evaluation Design,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R6,情境有效性,Evaluation Design,A,heart,1.0
E01,C1,BBQ Age,Fairness & Inclusion,R7,任务形式适配,Evaluation Design,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R7,任务形式适配,Evaluation Design,A,heart,1.0
E03,C1,BBQ Age,Fairness & Inclusion,R7,任务形式适配,Evaluation Design,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R7,任务形式适配,Evaluation Design,A,heart,1.0
E01,C1,BBQ Age,Fairness & Inclusion,R8,标签结构与分歧设计,Evaluation Design,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R8,标签结构与分歧设计,Evaluation Design,A,heart,1.0
E03,C1,BBQ Age,Fairness & Inclusion,R8,标签结构与分歧设计,Evaluation Design,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R8,标签结构与分歧设计,Evaluation Design,A,heart,1.0
E01,C1,BBQ Age,Fairness & Inclusion,R9,指标有效性,Evaluation Design,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R9,指标有效性,Evaluation Design,Tie,tie,0.5
E03,C1,BBQ Age,Fairness & Inclusion,R9,指标有效性,Evaluation Design,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R9,指标有效性,Evaluation Design,Tie,tie,0.5
E01,C1,BBQ Age,Fairness & Inclusion,R10,评分者可靠性,Evaluation Design,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R10,评分者可靠性,Evaluation Design,A,heart,1.0
E03,C1,BBQ Age,Fairness & Inclusion,R10,评分者可靠性,Evaluation Design,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R10,评分者可靠性,Evaluation Design,A,heart,1.0
E01,C1,BBQ Age,Fairness & Inclusion,R11,数据与标注质保,Governance Reliability,A,heart,1.0
E02,C1,BBQ Age,Fairness & Inclusion,R11,数据与标注质保,Governance Reliability,A,heart,1.0
E03,C1,BBQ Age,Fairness & Inclusion,R11,数据与标注质保,Governance Reliability,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R11,数据与标注质保,Governance Reliability,A,heart,1.0
E01,C1,BBQ Age,Fairness & Inclusion,R12,防作弊与防污染,Governance Reliability,Tie,tie,0.5
E02,C1,BBQ Age,Fairness & Inclusion,R12,防作弊与防污染,Governance Reliability,Tie,tie,0.5
E03,C1,BBQ Age,Fairness & Inclusion,R12,防作弊与防污染,Governance Reliability,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R12,防作弊与防污染,Governance Reliability,Tie,tie,0.5
E01,C1,BBQ Age,Fairness & Inclusion,R13,文档与可复现性,Governance Reliability,Tie,tie,0.5
E02,C1,BBQ Age,Fairness & Inclusion,R13,文档与可复现性,Governance Reliability,A,heart,1.0
E03,C1,BBQ Age,Fairness & Inclusion,R13,文档与可复现性,Governance Reliability,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R13,文档与可复现性,Governance Reliability,A,heart,1.0
E01,C1,BBQ Age,Fairness & Inclusion,R14,维护与更新治理,Governance Reliability,Tie,tie,0.5
E02,C1,BBQ Age,Fairness & Inclusion,R14,维护与更新治理,Governance Reliability,Tie,tie,0.5
E03,C1,BBQ Age,Fairness & Inclusion,R14,维护与更新治理,Governance Reliability,A,heart,1.0
E04,C1,BBQ Age,Fairness & Inclusion,R14,维护与更新治理,Governance Reliability,A,heart,1.0
E01,C2,XSTest,Safety & Reliability,R1,构念清晰度,Content Validity,B,heart,1.0
